date,DEXUSUK
2018-05-07,1.5063
2018-05-08,1.5019
2018-05-09,1.509
2018-05-10,1.5145
2018-05-11,1.524
2018-05-14,1.5165
2018-05-15,1.5195
2018-05-16,1.5222
2018-05-17,1.5309
2018-05-18,1.5501
2018-05-21,1.567
2018-05-22,1.5763
2018-05-23,1.5892
2018-05-25,1.5938
2018-05-28,1.6068
2018-05-29,1.5956
2018-05-30,1.616
2018-05-31,1.6448
2018-06-01,1.6515
2018-06-04,1.6405
2018-06-05,1.6173
2018-06-06,1.6017
2018-06-07,1.5976
2018-06-08,1.6267
2018-06-11,1.6334
2018-06-12,1.6547
2018-06-13,1.6523
2018-06-14,1.6268
2018-06-15,1.6446
2018-06-18,1.6293
2018-06-19,1.6369
2018-06-20,1.6537
2018-06-21,1.6343
2018-06-22,1.6344
2018-06-25,1.6486
2018-06-26,1.6336
2018-06-27,1.6498
2018-06-28,1.6533
2018-06-29,1.6452
2018-07-02,1.6524
2018-07-03,1.6398
2018-07-04,1.6336
2018-07-05,1.623
2018-07-06,1.6158
2018-07-09,1.6027
2018-07-10,1.6301
2018-07-11,1.6185
2018-07-12,1.6179
2018-07-13,1.6294
2018-07-16,1.6439
2018-07-17,1.6417
2018-07-18,1.633
2018-07-19,1.6494
2018-07-20,1.6419
2018-07-23,1.6439
2018-07-24,1.6562
2018-07-25,1.6432
2018-07-26,1.6486
2018-07-27,1.6477
2018-07-30,1.6379
2018-07-31,1.6483
2018-08-01,1.6713
2018-08-02,1.6956
2018-08-03,1.6932
2018-08-06,1.6977
2018-08-07,1.6774
2018-08-08,1.6669
2018-08-09,1.6487
2018-08-10,1.6501
2018-08-13,1.6538
2018-08-14,1.658
2018-08-15,1.6529
2018-08-16,1.6323
2018-08-17,1.6418
2018-08-20,1.6555
2018-08-21,1.6494
2018-08-22,1.6503
2018-08-23,1.6417
2018-08-24,1.643
2018-08-27,1.6235
2018-08-28,1.6212
2018-08-29,1.6331
2018-08-30,1.6314
2018-08-31,1.6168
2018-09-03,1.6269
2018-09-04,1.6354
2018-09-05,1.6378
2018-09-07,1.6512
